login; location; place; followers; contributions; stars; user_stars; language
nerviozzo;Chipiona;Cádiz;1;71;0;0;HTML
KevValle;San Fernando, Cádiz;Cádiz;1;71;0;0;Python
SergioXp;Sevilla;Sevilla;3;70;0;0;Makefile
fblupi;Granada (Spain);Granada;1;70;0;0;JavaScript
FernandoGaliay;Sevilla, España.;Sevilla;0;69;2;11;Java
albertobeiz;Sevilla, Spain;Sevilla;10;69;0;1;Python
juanluramirez;Sevilla;Sevilla;0;69;0;0;Python
criscosg;Sevilla;Sevilla;0;69;0;0;PHP
juancroldan;Sevilla, Spain;Sevilla;1;68;2;1;Python
laudisa93;Sevilla;Sevilla;2;68;0;0;Python
estebanpua;Málaga;Málaga;2;68;0;1;Java and R
jvargas91;Los Palacios y Villafranca, Sevilla;Sevilla;1;68;0;1;
JuanfranRobles;Granada (España);Granada;1;68;0;0;Java
felmoltor;Madrid / Jaén;Jaén;16;67;27;13;Ruby
gasparfm;Málaga;Málaga;7;66;9;46;C++
Squallium;Sevilla (Spain);Sevilla;6;66;0;25;JavaScript
kerunaru;Málaga, RDP de Andalucía, URSI;Andalucía;11;65;1;88;Ruby
Jick9536;Granada;Granada;2;65;2;0;Java
sramirez;Granada;Granada;8;65;4;7;Scala
garciaae;Seville, Spain;Sevilla;0;64;2;3;Objective-C
bumxu;Almería, Spain;Almería;4;64;27;22;JavaScript
fabianvaccaro;Malaga, Spain;Málaga;0;64;0;0;C#
JaviRubio;Granada;Granada;1;64;3;1;Python
javism;Córdoba, Spain;Córdoba;27;64;3;4;C++
serrodcal;Seville;Sevilla;1;63;1;2;CSS
josecolella;Granada;Granada;17;63;3;118;Python
josecamachop;Granada;Granada;3;63;2;0;Matlab
PBarri;Sevilla;Sevilla;1;62;0;1;CSS
youenna;Seville (Spain);Sevilla;4;61;0;0;JavaScript
gbvalor;Ogijares - Granada (Spain);Granada;1;61;4;0;C and CMake
jmrosell;Granada, Spain;Granada;1;61;0;0;Java
victoriano;Granada, Spain;Granada;36;61;15;428;JavaScript
sikkar;Granada, Spain;Granada;1;60;0;0;Java
ignaciofatou;Ubrique;Cádiz;0;60;0;0;Java
josearcosaneas;Granada;Granada;0;60;0;0;JavaScript
rlopc;Granada;Granada;3;59;1;1;R
Rauleinstein;Granada;Granada;2;59;0;1;PHP
ahdiaz;Seville, Spain;Sevilla;23;58;12;27;Shell
rcmorano;Seville;Sevilla;28;58;64;60;Shell
sagoca;Sevilla;Sevilla;0;58;0;1;Objective-C
rubengooj;Malaga;Málaga;1;58;0;0;CMake and C++
xnandersson;Malaga;Málaga;2;58;3;2;Shell
trialsolution;Seville area;Sevilla;1;57;18;26;GAMS
ualjjcanada;Almería;Almería;1;57;0;0;Java and HTML
albertogallego;Córdoba, Spain;Córdoba;9;56;5;5;CSS
MercAddons;Granada;Granada;8;56;1;0;Ruby and Java
AlbertoCejas;Cádiz;Cádiz;6;56;7;7;Java
javsalgar;Seville, Spain;Sevilla;0;56;0;0;CMake
Bultako;Granada, Spain;Granada;5;56;4;3;Python
torresj;Granada;Granada;7;55;5;1;CSS
jfigueruela;Sevilla (Spain);Sevilla;3;55;1;3;CSS
acasadoquijada;Granada, Spain;Granada;2;55;0;0;Java
josemlp91;Granada;Granada;5;55;4;5;Java
omarsotillo;Córdoba;Córdoba;17;54;1;16;CSS
dacioleal;Cádiz, Spain;Cádiz;6;54;0;0;Objective-C
malfario;Granada;Granada;2;54;13;320;Shell
dariomolina;Cordoba;Córdoba;2;54;0;0;Python
Mangulomx;Linares;Jaén;0;54;0;0;PHP
dachibox;Sevilla;Sevilla;15;54;0;20;C#
jmmauricio;Sevilla, Spain;Sevilla;3;54;0;2;Python
nono9119;Andújar;Jaén;0;53;0;0;JavaScript
benigala;seville - spain;Sevilla;0;53;0;0;
Danmarjim;Seville;Sevilla;1;53;0;1;Ruby
penyaskito;Sevilla, Spain;Sevilla;81;53;20;110;PHP
Jesux11;Granada (España);Granada;0;53;0;0;Shell
nelboudjay;Malaga, Spain;Málaga;0;53;1;0;Java
josemiguelmota;Cádiz;Cádiz;1;52;1;0;CSS
NachE;Granada;Granada;7;52;5;25;Python
juangranadilla;Córdoba;Córdoba;1;52;0;9;
soutoner;Málaga;Málaga;3;52;0;0;Java and C
J-Rios;Málaga, Spain;Málaga;1;51;2;2;Arduino
Schbk77;Granada;Granada;1;51;0;5;Java
raul2117;Sevilla;Sevilla;0;51;0;0;CSS
exodous;Granada;Granada;0;50;0;1;Python
WanManolo;Granada;Granada;2;50;3;4;JavaScript
