login; location; place; followers; contributions; stars; user_stars; language
svarvel;Barcelona, Spain;Barcelona;0;1;0;1;Batchfile
Ang19901;Barcelona;Barcelona;0;1;0;0;
Malvinito;Barcelona;Barcelona;0;1;0;0;
Elavazhagan93;Barcelona;Barcelona;0;1;0;0;
lphilippo;Barcelona;Barcelona;1;1;1;2;
PelaezAn;Barcelona, Spain.;Barcelona;0;1;0;0;Java and JavaScript
jorisvd;Barcelona;Barcelona;0;1;0;0;
Loda;Barcelona;Barcelona;1;1;0;19;Java
jtapial;Barcelona;Barcelona;0;1;0;0;Python
Thorstorm;Barcelona;Barcelona;0;1;0;0;
bastienmothais;Barcelona;Barcelona;0;1;0;0;CSS
martinpetts;Barcelona, Spain;Barcelona;3;1;0;54;HTML and JavaScript
sergibyte;Barcelona;Barcelona;0;1;0;1;CSS
RCala;Barcelona;Barcelona;0;1;0;2;HTML
JoanGi;Barcelona;Barcelona;0;1;0;0;
Freakill;Barcelona;Barcelona;0;1;0;0;C++ and C
ferran-romero;Barcelona;Barcelona;0;1;0;1;PHP and Shell
LasVegasOle;Barcelona;Barcelona;9;1;8;14;JavaScript
albertgarcias;Barcelona;Barcelona;0;1;0;11;Batchfile
marcospolo;Barcelona;Barcelona;1;1;0;2;CSS
julialecat;Barcelona;Barcelona;0;1;0;1;
xvrmallafre;Barcelona;Barcelona;0;1;0;1;
muebel;Barcelona;Barcelona;0;1;0;0;CSS
landtax;Barcelona;Barcelona;9;1;5;13;Ruby
santivila;Barcelona;Barcelona;0;1;0;7;CSS
ejmeij;Barcelona, Spain;Barcelona;9;1;67;2;Java
oestape;Barcelona, Spain;Barcelona;0;1;3;15;CSS
annanoell;Barcelona;Barcelona;0;1;0;0;
demon-tdr;Barcelona;Barcelona;2;1;0;4;HTML
olimax;London and Barcelona;Barcelona;0;1;0;2;
Kamugo;Barcelona;Barcelona;0;1;0;0;JavaScript
mydocumenta;Barcelona;Barcelona;0;1;0;0;CSS
stefanie-marti;Barcelona;Barcelona;1;1;0;0;
hunter-digi-ace;Barcelona;Barcelona;1;1;0;0;
popedub;Barcelona;Barcelona;0;1;0;0;CSS
daehin;Barcelona;Barcelona;0;1;0;0;
andreirobu;Barcelona, Spain;Barcelona;1;1;1;9;Python
carra;Barcelona;Barcelona;2;1;1;1;
jmoraltu;Barcelona;Barcelona;0;1;0;0;C#
Ismar11;Barcelona;Barcelona;0;1;0;0;CoffeeScript
tiagoh;Barcelona, Spain;Barcelona;9;1;6;27;R
rsancle;Barcelona;Barcelona;0;1;0;5;CSS
mariondita;Barcelona;Barcelona;1;1;0;0;
mvcmaker;Barcelona;Barcelona;0;1;0;0;JavaScript
feralou;Barcelona;Barcelona;13;1;6;20;JavaScript
pparescasellas;Barcelona;Barcelona;2;1;0;5;
nellsavedra;Barcelona;Barcelona;0;1;0;10;CSS
ace;Barcelona;Barcelona;8;1;2;8;Ruby
ines9591;Barcelona;Barcelona;0;1;0;0;CSS
Mikivg;Barcelona;Barcelona;0;1;0;0;
javiertejero;Barcelona, Spain;Barcelona;14;1;3;563;JavaScript
