login; location; place; followers; contributions; stars; user_stars; language
murggu;Basque Country;Euskadi;2;36;0;2;Java
jagumiel;Bilbao;Bilbao;0;36;0;0;PHP
vssnake;Santurtzi;Bilbao;2;36;1;17;Java
javierdemartin;Bilbao;Bilbao;0;36;0;4;Swift and R
kronosnhz;Bilbao;Bilbao;3;33;0;7;Java
Erly;Santurtzi, Spain;Bilbao;2;33;10;6;Java
berganza;Bilbao;Bilbao;104;32;113;80;Objective-C
Quest10;Bilbao, Basque Country -- Spain;Bilbao;1;32;0;12;Emacs Lisp
josuhercearsuaga;Andoain, Gipuzkoa;Donostia;5;32;0;2;JavaScript
Cortadai;Santurtzi (Vizcaya);Bilbao;0;32;0;0;CSS and HTML
Luis-Revuelta-Esquinas;Portugalete, Spain;Bilbao;0;31;0;0;Java
nirekin;Bilbao, Spain;Bilbao;0;30;0;2;Go
Edurnita;Bilbao, Spain;Bilbao;1;30;0;0;R
neelravi;Donostia San Sebastian, Spain;Donostia;0;30;0;0;JavaScript
AritzaSm;Barakaldo;Bilbao;0;29;1;9;JavaScript
eneko89;Bilbao, Vizcaya;Bilbao;13;28;12;214;JavaScript
irenenovo;Bilbao;Bilbao;5;28;1;0;JavaScript
estraviz;Bilbao, Spain;Bilbao;7;27;1;94;HTML
basoko;Bilbao, Spain;Bilbao;13;27;1;75;Shell
f3rguz;Bilbao;Bilbao;0;26;0;0;CSS
javiercerro;Donosti;Donostia;0;26;0;0;Java
mberasategi;Donostia;Donostia;1;26;2;62;CSS
IonAlberdi;Donostia - San Sebastian;Donostia;0;24;0;0;JavaScript
mikelzorrilla;Donostia;Donostia;0;24;0;0;JavaScript
AitorAlejandro;Bilbao;Bilbao;6;23;0;186;CSS
Ricewind1512;Basque Country;Euskadi;0;23;0;1;
lukasmonk;Portugalete-Spain;Bilbao;1;23;26;2;Python
asiermarques;Barakaldo, Vizcaya, España;Bilbao;66;22;48;28;PHP
AnderPijoan;Bilbao;Bilbao;11;22;33;4;Java
BlueSialia;Bilbao, Vizcaya;Bilbao;6;22;0;9;HTML
Alvurion;Durango, Basque Country, Spain;Euskadi;0;22;0;1;Java
eemece2;Getxo, Spain;Bilbao;2;21;3;168;JavaScript
unaguil;Bilbao;Bilbao;17;20;14;12;Python
fernandolozano;Donostia;Donostia;2;20;0;5;
Eggop92;Bilbao;Bilbao;1;19;0;1;Java
edertxorocker;Donostia, Basque Country;Donostia;0;19;2;3;PHP
joruiz;Bilbao;Bilbao;25;18;7;0;C++
orekamenpe;Between Arrasate (Basque Country) and Barcelona;Euskadi;0;18;1;0;Python
spolex;Derio, Bizkaia, Euskal Herria;Bilbao;3;18;0;0;Java
miguelprada;San Sebastián;Donostia;0;18;0;15;CMake
koldohernandez;Bilbao;Bilbao;1;18;1;0;JavaScript and Shell
missuks;San Sebastián;Donostia;5;17;0;0;JavaScript and CSS
marcosfeijoo;Bilbao, Spain;Bilbao;0;17;0;0;Python
txusinho;Bilbao, center of the known universe;Bilbao;7;17;5;13;JavaScript
oggers;Bilbao - Spain;Bilbao;1;17;1;2;Python
Laffite-Buffon;Leioa, Bizkaia, Spain;Bilbao;0;16;0;0;R
glapuente;Barakaldo;Bilbao;0;16;0;0;Java
jacoobs;Bilbao, Pais Vasco;Bilbao;1;16;0;2;HTML
TxusLopez;Bilbao (Spain);Bilbao;0;16;0;1;Java and Python
noeliaoses;Basque Country;Euskadi;0;15;0;0;R and HTML
anderpg;Bilbao;Bilbao;0;15;0;0;CSS
jmartinezot;Donostia;Donostia;1;15;0;0;C++
abeaumont;Gasteiz, Basque Country;Euskadi;13;15;15;111;Dylan
libargutxi;Eibar, Gipuzkoa;Donostia;1;14;0;0;Python
janogarcia;San Sebastián, Spain.;Donostia;13;14;1;103;CSS
sheilapbi;San Sebastián;Donostia;21;14;0;4;PHP and JavaScript
fernandiez;Bilbao;Bilbao;4;14;1;18;PHP
gorkavicente;San Sebastián;Donostia;0;14;0;11;
