login; location; place; followers; contributions; stars; user_stars; language
bonigarcia;Madrid;Madrid;10;730;25;4;Java
fcharte;Jaén, Granada, Spain;Granada;12;727;19;8;R
marcosgdf;Valladolid, Spain;Valladolid;13;724;11;46;PHP
096acc;Spain;España;7;723;5;37;CSS
wschoenell;Spain;España;11;722;3;44;Python
Jsevillamol;Madrid, Spain;Madrid;9;721;9;12;C++
SferaDev;Spain;España;37;721;9;13;Java
plungerman;Barcelona;Barcelona;1;720;0;62;
skarbat;Malaga, Spain;Málaga;2;717;2;4;Python
davidmogar;Asturias, Spain;Asturias;6;716;27;8;CSS
jabrena;Madrid, Spain;Madrid;9;715;10;89;JavaScript
saulmm;Vigo, Spain;Pontevedra;769;710;2898;201;Java
romartin;Barcelona;Barcelona;5;710;1;4;Java
AlvaroVega;Madrid;Madrid;2;708;5;14;Shell
iriberri;Madrid;Madrid;16;706;3;10;JavaScript
pplu;Barcelona;Barcelona;20;705;61;38;Perl
jmarcet;Spain;España;2;704;4;20;Shell
Sergio-Mira;Spain;España;3;695;0;1;Shell
adobo;Spain;España;22;695;182;210;PHP
neikeq;Madrid;Madrid;2;694;3;80;PHP
carlosms;Madrid, Spain;Madrid;3;691;2;2;Ruby
ManfredKarrer;Barcelona, Spain;Barcelona;8;690;8;43;Java
ruben1;Barcelona ☼;Barcelona;63;689;23;156;JavaScript
hhkaos;Spain;España;29;681;15;28;JavaScript
alvatar;Madrid, Spain;Madrid;74;681;118;237;Scheme
dmamolina;Madrid;Madrid;5;677;3;118;Shell and Ruby
carpasse;Spain;España;5;677;0;1;JavaScript
alexfernandez;Madrid, Spain;Madrid;91;676;568;28;JavaScript
dowrow;Madrid;Madrid;13;676;4;58;Java
ferjm;Madrid;Madrid;38;670;44;34;JavaScript
TurBoss;Spain;España;0;668;1;18;Python
JAFS6;Granada, Spain;Granada;2;667;0;0;C#
xuanxu;Madrid, Spain;Madrid;73;658;62;254;Ruby
alexsavio;San Sebastián, Spain;Donostia;14;653;6;31;Python
andreshp;Granada, Spain;Granada;38;652;16;34;Python
AdrianArroyoCalle;Valladolid, Spain;Valladolid;12;652;43;48;Shell
eLobato;Madrid, Spain;Madrid;53;648;119;286;Ruby
ecoal95;Salamanca, Spain;Salamanca;19;647;23;54;Makefile
lmenezes;Gijón, Spain;Asturias;47;644;954;46;Shell
yagop;Madrid, Spain;Madrid;72;643;747;529;JavaScript
salvadorgascon;Barcelona;Barcelona;2;641;0;2;C#
Jesus89;Madrid (Spain);Madrid;28;640;11;12;Python
alastair;Barcelona;Barcelona;80;638;249;103;Python
hiromipaw;Barcelona, Spain;Barcelona;21;638;4;10;Ruby
sinmsinm;Lleida;Lleida;1;638;1;6;JavaScript
ctemescw;A Coruña, Spain;Coruña;10;636;8;27;OpenSCAD
logongas;Valencia , Spain;Valencia;24;636;23;14;JavaScript
lodr;Madrid;Madrid;52;636;92;3;JavaScript
unintendedbear;Granada, Spain;Granada;19;635;2;7;Perl
csantosb;Madrid;Madrid;0;630;2;15;Emacs Lisp
unho;Galicia;Galicia;11;629;24;6;Python
VGonPa;Leganés (Madrid);Madrid;10;629;3;35;Python
michael-emmi;Madrid, Spain;Madrid;6;627;4;23;Ruby
carlosjoserg;Barcelona, ES ⇄ Pisa, IT;Barcelona;8;626;1;37;C++
mvader;Madrid, Spain;Madrid;78;624;135;1.4k;JavaScript
carlossg;Spain;España;64;623;206;30;Shell
isaacroldan;Spain;España;10;623;0;15;Objective-C
jframos;Madrid;Madrid;0;623;0;0;Python
srvaroa;Barcelona;Barcelona;17;622;3;47;Shell
jose-izquierdo;Madrid;Madrid;9;621;0;9;JavaScript
PatrickHeneise;Barcelona, Spain;Barcelona;38;621;228;46;JavaScript
javiersantos;Seville, Spain;Sevilla;28;619;180;25;Java
lmdiazangulo;Granada, Spain;Granada;6;619;0;5;
7flying;Bilbao;Bilbao;4;619;1;34;Python
Xatpy;Madrid;Madrid;2;618;3;20;JavaScript
abenitoc;Madrid;Madrid;13;616;5;12;JavaScript
crodrigoturner;Madrid (Spain);Madrid;0;615;0;3;CSS
jbalsas;Madrid, Spain;Madrid;24;614;49;20;JavaScript
Kaian;Spain;España;10;611;1;26;Shell
josegom;Madrid;Madrid;3;608;2;59;Java
mgp25;Spain;España;235;607;329;11;PHP
2XL;Tarragona;Tarragona;5;606;3;31;HTML
adrian-rosello;Barcelona;Barcelona;8;605;2;2;Java
bigardone;Asturias, Spain;Asturias;20;604;86;42;JavaScript
rmhdev;Donostia;Donostia;3;603;40;35;PHP
ryanfox1985;Tarragona, Spain;Tarragona;3;602;0;3;Ruby
brenes;Asturias;Asturias;23;601;53;66;Ruby
soywiz;Spain, Valencia;Valencia;91;601;547;381;Shell
lrlopez;Linares (Jaén);Jaén;16;601;6;180;PHP
atd;Madrid;Madrid;69;600;150;171;Ruby
Deathsbreed;Seville, Spain;Sevilla;3;600;3;28;Java
MortI2C;Barcelona, Catalunya;Catalunya;3;598;0;0;CSS
beeman;Barcelona, Spain;Barcelona;60;595;690;672;JavaScript
gallir;Palma de Mallorca, Spain;Baleares;143;592;161;6;Shell
calvinpy;Madrid;Madrid;3;592;3;18;Python
emi80;Barcelona;Barcelona;6;591;1;0;CSS
lluis;Vilafranca del Penedès, Catalunya;Catalunya;5;591;28;31;Ruby
josepllberral;Barcelona;Barcelona;2;590;0;0;C
Nazariglez;Tenerife, Canary Islands;Tenerife;28;589;21;181;JavaScript
jdesiloniz;Cádiz, Spain;Cádiz;14;588;0;1;Swift
markbain;Barcelona, Spain;Barcelona;10;583;1;22;JavaScript
Diseinuak;Getafe - Madrid, España;Madrid;0;583;1;3;JavaScript
olmobrutall;Madrid (Spain);Madrid;2;581;0;5;C#
rpau;Barcelona;Barcelona;15;580;87;16;Java
Piker-Alpha;Spain;España;89;577;314;0;Shell
jjelosua;Vigo, Spain;Pontevedra;29;576;6;43;Python
pronebird;Canary Islands;Canarias;32;576;175;420;Objective-C
lluisgerard;Mataro, Barcelona;Barcelona;15;575;9;248;Objective-C
albertopq;Barcelona;Barcelona;12;574;119;27;JavaScript
gonthalo;Madrid, Spain;Madrid;1;574;6;6;JavaScript
carlosazaustre;Madrid, Spain;Madrid;693;571;485;144;JavaScript
gorco;Madrid - Spain;Madrid;8;570;0;5;JavaScript
olumby;Spain;España;2;569;13;23;CSS
unamaria;Austin / Barcelona;Barcelona;19;568;0;8;HTML
geonexus;Madrid;Madrid;0;567;0;0;Python
Zardoz89;Spain;España;13;565;16;137;C++
agonlucas;Madrid;Madrid;0;563;0;0;Python
chiquitinxx;Madrid;Madrid;13;561;118;16;Groovy
gpascualg;España;España;8;557;14;14;C++
iiegor;Spain;España;10;557;6;126;JavaScript
NadirZenith;Barcelona;Barcelona;5;556;0;89;JavaScript
labra;Asturias;Asturias;40;555;30;29;Scala
Pinkii-;Barcelona, Ibiza;Barcelona;13;555;3;8;C++
lordofthejars;Barcelona;Barcelona;47;554;271;45;Java
xaviml;Barcelona;Barcelona;11;552;7;14;Java
carlospalacin;Madrid, Spain;Madrid;2;550;0;13;PHP
potray;Granada, Spain;Granada;4;547;0;0;JavaScript
gtorodelvalle;Madrid, Spain;Madrid;6;546;10;33;JavaScript
rubiojr;Barcelona, Spain;Barcelona;115;544;464;1.1k;Ruby
alejandrofcarrera;Madrid, Spain;Madrid;8;542;18;27;Objective-C
gserranojc;Madrid;Madrid;6;540;1;13;Java
jaimeMF;Spain;España;45;540;115;18;Python
fernandezcuesta;Santander, ES;Cantabria;0;539;0;14;Python
muit;Madrid, España;Madrid;17;538;108;18;JavaScript
julioxus;Granada, Spain;Granada;9;538;7;2;Shell
javipacheco;Cádiz, Spain;Cádiz;140;536;92;155;Java
manuelcalerosolis;Spain;España;3;535;5;1;JavaScript
scambra;Zaragoza, Spain;Zaragoza;51;532;116;104;Ruby
parmegv;Spain;España;3;531;2;3;Shell
gregoriorobles;Madrid (Spain);Madrid;58;529;1;5;Python
MariadeAnton;Madrid, Spain;Madrid;23;529;7;104;C++
SCeruso;Santa Cruz de Tenerife;Tenerife;1;529;0;0;Java
rubencaro;Barcelona;Barcelona;6;529;58;71;Ruby
RGuerreroC;España;España;3;528;0;0;HTML
juanAFernandez;Granada;Granada;20;528;0;28;Shell
erikrk;Tarragona, Spain;Tarragona;0;522;0;0;CMake
ahaasler;Madrid, Spain;Madrid;7;521;10;22;JavaScript
marcelkalveram;Valencia;Valencia;5;520;23;10;PHP
stronk7;Navarrete, La Rioja, Spain;Rioja;34;520;25;30;PHP
acanas;Granada, Spain;Granada;34;520;14;12;Makefile
jburguete;Zaragoza, Spain;Zaragoza;3;519;4;3;C
bott17;Granada, España;Granada;6;519;1;5;Java
albertov;Madrid;Madrid;6;517;3;12;Haskell
victordiaz;Granada (Spain);Granada;54;516;30;50;Java
victorcoder;Barcelona;Barcelona;49;513;654;92;Go
toniginard;Barcelona;Barcelona;2;513;0;3;PHP
