login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
antoniogarrote;London UK / Salamanca Spain;141;72;1053;5;0
naoisegolden;Barcelona, Spain;23;71;16;2;0
fmartingr;Madrid, Spain;24;70;48;3;0
sergiou87;Spain;12;70;56;3;0
penyaskito;Sevilla, Spain / Frankfurt, Germany;79;69;20;4;0
bertbalcaen;Barcelona, Spain / Ghent, Belgium;9;69;4;2;0
sdeancos;Madrid, Spain.;20;68;28;2;0
pedroj;Sevilla, Spain;11;68;12;5;0
furilo;Madrid, Spain;29;68;0;3;0
rodcul;Spain;7;68;4;4;0
mcamou;Madrid, Spain;10;67;27;2;0
edlectrico;Bilbao (Spain);14;67;6;3;0
ogf;Spain;6;67;8;5;0
javism;Córdoba, Spain;23;66;2;3;0
pruiz;Madrid (Spain);9;66;187;3;0
vortizhe;Oviedo (Spain);13;66;7;3;0
nass600;Madrid, Spain;13;64;46;4;0
jalberto;Sevilla, Spain;29;64;13;3;0
quickapps;Pamplona, Navarra - Spain;14;64;120;3;0
srus;Seville, Spain;9;63;12;3;0
cmendible;Madrid, Spain;7;63;58;2;0
natxopedreira;Spain;11;63;20;4;0
odarriba;Spain;7;63;0;2;0
palmerabollo;Spain;12;63;50;2;0
germanrcuriel;Barcelona, Spain;12;62;53;2;0
ssoto;Seville, Andalusia (Spain);10;61;0;3;0
jorix;Castelldefels (near Barcelona, Spain);14;61;53;4;0
javigzz;Spain;7;61;0;3;0
lauramcastro;A Coruña, Spain;7;61;5;3;0
naveda89;Bilbao, Spain;13;61;3;4;0
Nytyr;Spain;6;60;9;5;0
donflopez;Spain;14;60;33;4;0
jberlana;Spain;67;60;1131;2;0
juanje;Canary Islands, Spain;78;59;120;1;0
YabataDesign;Spain;8;59;332;5;0
terox;Alcoi, Alicante, Spain;13;59;8;4;0
i32petoj;Córdoba, Spain;11;59;0;5;0
jesus-sayar;Spain, Galicia;24;59;7;3;0
carlosparamio;Spain;24;59;123;3;0
abellogin;Madrid, Spain;15;58;0;4;0
int-0;Spain;10;58;22;3;0
arandaio;Córdoba, España;20;57;0;3;0
aferrandini;Madrid - Spain;27;57;92;2;0
rborn;Spain;100;57;226;2;0
celeduc;Barcelona, Spain;23;57;9;2;0
davidru85;Logroño, La Rioja, Spain;7;57;3;3;0
basoko;Bilbao, Spain;10;56;1;5;0
jpalanco;Madrid, Spain;12;55;5;4;0
jmanuelcorral;Spain;8;55;9;3;0
seravb;Granada, Spain;6;55;1;3;0
DavidHernandez;Valencia, Spain;23;55;7;2;0
jhbabon;Barcelona, Spain;21;54;18;4;0
grisendo;Saragossa, Spain;9;53;0;2;0
ssaavedra;A Coruña, Spain;12;53;10;4;0
FireZenk;Madrid, Spain;19;53;126;3;0
sammla;Barcelona, Spain;10;52;0;2;0
ajnebro;Málaga (Spain);8;52;0;2;0
davidbarral;A Coruña, Spain;16;52;11;5;0
jpoesen;Andalusia, Spain;17;52;13;3;0
d3cod3;Valencia, España;13;51;36;3;0
wicz;Barcelona, Spain;9;51;14;3;0
chuidiang;Spain;10;51;7;12;0
xgc1986;Spain;11;50;266;3;0
salrepe;Spain;8;50;2;2;0
alexcarol;Barcelona,Spain;8;50;1;5;0
Papipo;Spain;25;50;232;7;0
olea;Almería (Spain);14;49;38;5;0
sleistner;Barcelona, Spain;22;49;60;2;0
fuzzyalej;Madrid, Spain;31;49;12;4;0
JesusM;Madrid,Spain;29;49;268;3;0
supertowers;Madrid, Spain;18;49;13;2;0
carlosreig;Valencia, Spain;9;49;2;2;0
edubxb;Barcelona, Spain;24;49;1;3;0
ggarber;Spain;8;48;20;4;0
am;spain;9;48;17;6;0
jameswatts;Madrid, Spain;93;48;105;3;0
Sithdown;Gijón, Spain;8;47;5;4;0
pabloogc;Toledo, Spain;7;47;0;3;0
jmingov;Spain;8;47;13;2;0
kix2902;Vigo, Spain;14;46;0;3;0
JuDelCo;Spain;10;46;17;3;0
daserrano;Madrid, Spain;18;45;0;3;0
IGZjonasdacruz;Madrid, Spain;8;45;0;4;0
rdymac;Spain;7;45;0;3;0
LuisGC;Madrid, Spain;11;45;0;3;0
ivanportillo;Córdoba, Spain;12;45;0;5;0
mparramont;Barcelona, Spain;13;45;57;2;0
coromoto;Spain;45;44;0;2;0
Frias115;Spain;11;44;0;2;0
dalloliogm;Barcelona (Spain);21;44;53;3;0
jeroen;Lloret de Mar, Spain;8;44;23;2;0
burnham;España;11;43;9;2;0
drodriguez;Near Madrid, Spain;39;43;135;3;0
luinix;Seville, Spain;15;43;3;2;0
alessandrod;Barcelona, Spain;20;42;70;3;0
ManuelPeinado;Madrid, Spain;799;42;3115;2;0
therobot;Madrid, Spain;29;42;3;2;0
igormilla;Barcelona, Spain;8;42;0;6;0
rtsinani;Spain;12;42;271;2;0
maraujop;Madrid, Spain;163;42;489;2;0
tubalmartin;Madrid, SPAIN;17;42;907;4;0
