user;province;contributions;stars;followers
ajnavarro; Madrid;178;0;2
FranBarrera; Sevilla;178;0;12
pervouchine; Barcelona;178;9;1
acroca; Barcelona;178;22;27
pilarargudo; Valencia;178;0;4
vitojph; Madrid;178;6;2
chikoon; Madrid;177;1;2
pixel-perfect-boy; Barcelona;177;0;2
carlosvillu; Barcelona;177;78;48
aitoroses; Navarra;176;11;2
aitoraloa; Bilbao;176;0;1
etorras; Madrid;175;2;6
pablodecm; Cantabria;175;0;1
jhderojasUVa; Valladolid;175;0;1
robdayz; Barcelona;175;1;5
drzippie; Sevilla;175;8;5
marcosgabarda; Valencia;175;13;13
Gawyn; Barcelona;175;36;12
danigosa; Barcelona;174;14;10
chemaar; Madrid;174;6;4
neverbot; Madrid;174;0;2
jeslg; Madrid;174;1;5
vicnala; Valencia;174;5;10
maxvlc; Valencia;173;0;2
atd; Madrid;172;144;65
adnam; Barcelona;172;33;11
alediator; Sevilla;172;24;21
ccamposfuentes; Granada;172;0;3
mikesimons; Barcelona;172;26;4
skgsergio; Madrid;172;13;15
dmitry; Tenerife;171;117;35
apalancat; Barcelona;171;99;20
jonanp; Bilbao;170;21;14
rgo; Rioja;170;87;53
franlu; Granada;170;1;11
Pakillo; Sevilla;170;61;39
OscardR; Castellón;169;0;4
pmarinr; Granada;169;12;9
ruarrimactire; Alicante;168;0;1
rfguri; Barcelona;168;23;11
torresj; Granada;168;5;7
Serabe; Madrid;168;117;36
jasonlint; Barcelona;168;1;2
fillito; Madrid;168;73;39
mandrewcito; Coruña;167;0;1
marcin-wosinek; Las Palmas;167;10;5
arall; Tarragona;167;12;16
juanfranrv; Granada;167;0;4
lingo; Bilbao;167;72;16
ordas; Asturias;167;0;0
PatriRor; Asturias;167;0;5
alrocar; Valencia;166;32;11
philn; Barcelona;166;24;15
awilliams; Madrid;166;304;16
jlbellido; Sevilla;166;1;14
daniegarcia254; Zaragoza;165;0;2
Josebaseba; Bilbao;165;9;20
lmorillas; Zaragoza;165;5;6
rolfbjarne; Madrid;164;35;21
castarco; Barcelona;164;9;13
argaen; Tarragona;163;2;3
pvhee; Barcelona;162;39;13
karliky; Bilbao;162;34;46
capynet; Granada;161;11;8
kmruiz; Barcelona;160;3;6
scruti; Valencia;160;0;6
pablovargan; Alicante;160;2;7
ajgarlag; Madrid;160;30;2
weapp; Barcelona;160;4;19
amorenoc; Barcelona;159;15;19
juanjosegarciaripoll; Madrid;159;15;10
aacuevas; Valencia;159;0;0
javifr; Barcelona;159;0;4
dmartincc; Madrid;158;2;2
gimenete; Zaragoza;158;49;150
Drimmark; Madrid;158;0;7
areina; Barcelona;158;170;23
ecoal95; Salamanca;157;16;16
analca3; Granada;157;3;10
gdfm; Barcelona;157;7;20
jordic; Barcelona;157;44;16
juanrgar; Madrid;157;10;4
serialsito; Sevilla;157;22;19
tiagojsag; Madrid;157;2;3
jesuscc1993; Valencia;157;0;0
santiarg; Lugo;157;0;2
sjmudd; Madrid;156;34;6
savayg; Barcelona;156;0;2
boom1992; Barcelona;156;2;3
griera; Barcelona;156;1;5
davilious; Alicante;156;0;5
carlosabalde; Coruña;155;22;3
garciademarina; Barcelona;155;4;11
JuanCarlosM; Barcelona;155;0;5
roberdcr; León;155;0;1
jamming; Madrid;155;12;5
jamaga; Barcelona;155;0;9
muntisa; Coruña;155;1;4
salveta; Valencia;155;0;4
iht; Madrid;154;3;8
jonabasque; Álava;154;3;8
jaspermdegroot; Barcelona;154;0;48
DarthWhite; Madrid;154;0;1
jeslopcru; Madrid;154;3;3
XayOn; Zaragoza;154;49;37
slapresta; Barcelona;154;27;12
miguelsaddress; Madrid;153;0;2
JCristobal; Granada;153;1;2
di36ofp; Barcelona;153;2;7
rubenlagus; Granada;152;6;3
rhoml; Barcelona;152;18;28
orggue; Zaragoza;151;1;4
janiversen; Málaga;151;0;0
aercolino; Barcelona;150;98;4
kevohagan; Baleares;150;56;31
jbgutierrez; Coruña;150;56;8
isorna; Madrid;150;4;8
cagataygurturk; Barcelona;149;2;8
kevinansfield; Valencia;149;6;10
davidt22; Valencia;149;0;2
pabloformoso; Coruña;149;24;20
Willyfrog; Madrid;149;27;15
dariosalvi78; Madrid;149;2;6
jmcerrejon; Huelva;149;22;2
DavidVazGuijarro; Barcelona;149;3;11
Noltari; Madrid;148;13;15
hopsor; Cádiz;148;4;4
smorcuend; Madrid;148;16;11
danielnowendsztern; Madrid;148;0;5
