login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
angellinares;Sevilla, Spain;12;3;1;1;0
viciana;Sevilla;1;3;0;1;0
mablanco;Seville, Spain;0;3;0;1;0
jmlm16;Dos Hermanas, Sevilla;4;3;0;2;0
robotrovsky;sevilla;0;3;0;1;0
javierabreu;Sevilla, Spain;0;3;0;1;0
nickel;Seville (Spain);24;3;21;1;0
diegodepablos;Seville, Spain;0;3;0;2;0
borloncilla;Seville;0;3;0;1;0
agomezmoron;Seville, Spain;0;2;0;1;0
octaviogl;Sevilla;5;2;0;1;0
pekechis;Sevilla;3;2;0;1;0
ipro56;Aznalcóllar/Sevilla;0;2;0;1;0
jorgeram;Seville, Spain;0;2;0;1;0
AntonioAcevedo;Sevilla, Spain;0;2;0;1;0
Zeyckler;Madrid/Seville;0;2;0;1;0
GOYUSO;Sevilla;0;2;0;1;0
guangle;Seville;0;2;1;1;0
arquio;Seville;15;2;3;2;0
migmartri;Sevilla Spain;20;2;16;1;0
mastermate;Seville, Spain;3;2;4;1;0
kairostasks;Seville;0;2;0;1;0
nachopavon;Seville, Spain;1;2;8;1;0
fprodrigocaro02208;Sevilla (E);0;2;0;1;0
edbriales;Sevilla (Spain);0;2;0;1;0
yoiiii121;Sevilla;0;2;0;2;0
japarejo;Sevilla, Spain;0;2;0;1;0
JJBocanegra;Seville;1;2;0;1;0
mlunacant;Seville, Spain;0;1;0;1;0
ClicGraham;Seville, Spain;0;1;0;1;0
a28rangel;Sevilla;0;1;0;1;0
mayantigo;Sevilla;3;1;0;1;0
migalvcon;Seville, Spain;0;1;0;1;0
lexicode;Seville;0;1;0;1;0
jamarfal;Sevilla;4;1;0;1;0
pintope;Sevilla (Spain);0;1;1;1;0
ignaciorivmen;Sevilla, España;2;1;0;1;0
efernandezleon;Sevilla;4;1;0;1;0
imonteroperez;Seville, Spain;1;1;7;1;0
alesevimor;Sevilla, España;0;1;4;1;0
ailimes;sevilla(spain);0;1;0;1;0
jminfante;Seville, Spain;0;1;0;1;0
creandoandroid;Sevilla;7;1;7;1;0
isidrobaq;Sevilla;1;1;0;1;0
svqdev;Sevilla, España;0;1;0;1;0
Twinber;Sevilla (SPAIN);4;1;0;1;0
ikito;Sevilla;0;1;0;1;0
alelopbes;Sevilla;2;1;3;1;0
rafaelromcar;Seville, Spain;5;1;0;1;0
pedmuitor;Seville, Spain;1;1;1;1;0
FranciscoVillen;Sevilla;0;1;0;1;0
