login; location; followers; contributions; stars; language
nmn;Madrid;117;430;269;JavaScript
xsimov;Barcelona;28;427;3;Ruby
oxcar103;Granada, Spain;21;426;1;TeX
pitbulk;Seville;22;425;23;PHP
gsprenger;Barcelona, Spain;0;424;0;CSS
AntonioND;Spain;5;422;35;C
quickapps;Pamplona, Navarra - Spain;15;420;125;PHP
plopesc;Valladolid, Spain;6;420;6;PHP
jvgomez;Madrid;4;419;3;C++
carlosgoce;Baiona, Pontevedra, Spain;3;416;1;PHP
figarocorso;Zaragoza;3;415;1;CSS
fxn;Barcelona;469;414;1071;Ruby
mvalleavila;España;10;414;8;Java
javipacheco;Cádiz, Spain;118;414;92;Java
gagle;Sant Cugat del Vallès, Spain;29;412;402;JavaScript
Kra1o5;Spain;87;412;12;C
jordimas;Barcelona;5;412;0;C
ginfante;Asturias, Spain;0;411;0;JavaScript
juanAFernandez;Granada;11;411;0;CSS
jabadia;Madrid;5;410;3;JavaScript
JavierIH;Madrid, Toledo (SPAIN);13;410;1;C++
JAFS6;Granada, Spain;1;410;0;C# and TeX
Delawen;Sevilla;39;408;10;JavaScript
martgnz;Barcelona;16;407;1;CSS
miw-upm;Carretera de Valencia Km. 7, 28031, Madrid, Spain;13;405;1;Java and HTML
karasu;Barcelona, Catalunya;17;405;9;C
igncp;Madrid, Spain;1;404;2;JavaScript
albertobeiz;Sevilla, Spain;10;403;0;Python
Foxandxss;Spain;76;403;477;JavaScript
templix;Figueres(Catalunya,Spain);0;401;1;Shell
smola;Madrid, Spain;14;400;113;Shell
hiromipaw;Barcelona, Spain;11;400;1;Ruby
neikeq;Madrid;0;399;2;Python
ivanortegaalba;Granada;16;398;3;Shell
mancas;Madrid;1;395;0;PHP
kewelinho;A coruña;2;394;1;JavaScript
ivmartel;Barcelona, Spain;16;393;138;JavaScript
Towerthousand;Barcelona;22;393;22;C++
d4weed;Madrid;0;393;0;CSS
Garcia98;Spain;12;393;3;Shell
jesusVMayor;Lugo;4;392;0;Python
gabi493;Barcelona, Spain;3;390;0;Shell
fernandoPalaciosGit;Palma de Mallorca;2;390;1;JavaScript
fsquillace;Valencia, Spain;7;389;126;Shell
andres-gnlez;Málaga / Madrid;0;389;0;JavaScript
mgdelacroix;Spain;43;387;16;Groovy
zzarcon;Barcelona, Spain;30;387;104;JavaScript
anler;Madrid, Spain;62;387;183;Python
MarioVilas;Madrid, Spain;151;386;206;Python
juandp77;Barcelona;0;386;0;TeX
fesplugas;Barcelona, Spain;112;385;85;Ruby
wmurphy;Madrid;5;385;2;PHP
jlaso;46010 Valencia (Spain);15;383;37;PHP
duarten;Barcelona;27;383;15;Shell
CKGrafico;Madrid, Barcelona;64;382;74;JavaScript
alu0100696691;Santa cruz de Tenerife, Islas Canarias, España;10;380;1;Ruby
fawques;España;4;380;8;Shell
jaoo;Piedrabuena. Ciudad Real. Spain;7;380;12;Shell
kernevil;Spain;27;380;45;Shell
sbartek;Zaragoza, Spain;2;379;0;JavaScript
angeljcc;Granada (Spain);9;379;0;JavaScript
marsanla;Valencia;11;378;34;JavaScript
jmeler;Barcelona;0;378;0;JavaScript
SferaDev;Spain;26;376;6;Java
oscarfonts;Barcelona;15;376;11;Python
lbergesio;Barcelona;1;373;2;C
luisivan;Madrid, Spain;58;372;85;JavaScript
javiroman;Madrid (Spain);29;372;12;Shell
Makova;Granada, Spain, Europe;21;371;7;Shell
vicboma1;Spain - Valencia;4;371;1;Java and Scala
xgalen;Benidorm, Alicante, Spain;7;370;0;JavaScript and Makefile
sxubach;Barcelona;2;368;0;
fsuarez6;Madrid, Spain;1;367;1;C++
VictorPurMar;Barcelona, Spain;3;367;0;Java
sgala;Lavapiés, Madrid, Spain;3;366;20;Python
micaelgallego;Madrid (Spain);10;366;0;JavaScript
Borja;Madrid (Spain);31;365;9;JavaScript
jirsis;Madrid;2;364;1;JavaScript
josepllberral;Barcelona;2;364;0;C
ygneo;Barcelona;18;364;13;Python
nestorsalceda;Zaragoza / Madrid;41;364;90;Ruby
koke;Zaragoza, Spain;38;362;132;Ruby
ggrandes;Barcelona, Spain;14;361;50;Java
Eldelshell;Madrid, Spain;5;360;33;CSS
fransua;Barcelona, Spain;9;359;9;Python
Reimashi;Ourense, Spain;2;359;0;C#
jesusgollonet;Malaga, Spain;85;357;200;JavaScript
davidsanfal;Spain, Madrid;6;357;10;C++
psicobyte;Granada, Spain;27;357;15;Shell
fnva;Barcelona;1;356;0;Shell
signumsoftware;Madrid (Spain);6;356;43;C#
Galbar;Barcelona, Spain;11;355;14;JavaScript
Moter8;Alicante, Spain;1;355;0;Java
jact;Zaragoza, Spain;4;354;1;PHP
elmart;Madrid;4;353;0;Python
oesteban;Madrid;5;352;3;Python
Bigomby;Sevilla, Spain;6;352;1;Java
griba2001;Tiana (near Barcelona) Catalonia - Spain;0;351;1;Haskell
rgalindo33;Barcelona;4;348;1;Ruby
rubenlh91;Málaga;0;348;0;
LuisAntonRebollo;Spain;11;346;16;CSS
lbosque;Madrid;35;346;23;Ruby
franexposito;Granada, Spain;6;344;1;CSS
enrmarc;Valladolid, Spain;7;344;52;JavaScript
julioxus;Granada, Spain;8;344;7;Shell
moreda;A Coruña, Spain;2;343;5;Scheme
agarciamontoro;Granada, Spain;19;342;5;C++
malotor;Valencia;11;342;8;PHP
tommypeps;Málaga, España;3;342;4;Objective-C
varhub;Spain;0;342;0;Shell
julien;Madrid, Spain;31;341;179;JavaScript
jessfr42;Madrid - Valencia;13;340;7;JavaScript
Yorkshireman;Pamplona, Spain;3;339;0;Ruby
phproberto;Valencia - Spain;76;338;64;PHP
Fixxe;Spain;5;338;0;Java
frsela;Madrid;9;338;32;JavaScript
mariodebian;Valladolid, Spain;10;337;9;Shell
jonnyjava;Valencia;3;337;0;JavaScript
edwise;Madrid;4;336;1;Java
xrubio;Barcelona;5;335;12;Python
RobertoIA;Burgos, Spain;1;335;0;Java
aesedepece;Málaga;29;334;71;JavaScript
garciparedes;Palencia, Spain;8;333;13;Java
alobbs;Madrid, Spain;33;333;49;Python
pabarcgar;Seville, Spain;0;333;0;Python
Jsevillamol;Madrid, Spain;4;333;5;C++
jmoutte;Spain;1;332;3;Shell
IrisGaleano;Madrid;1;331;0;CSS
albertov;Madrid;6;331;2;Haskell
rpau;Barcelona;9;330;31;Java
pabloalba;Madrid;23;330;14;Groovy
vilanovi;Barcelona;14;329;221;Objective-C
Fernan2;Valencia;5;329;4;Ruby
skolodyazhnyy;Barcelona, Spain;8;329;19;PHP
VictorBjelkholm;Barcelona, Catalunya;55;328;993;JavaScript
amatellanes;Málaga, Spain;22;327;65;CSS
manutero;Madrid, Spain;9;327;3;Ruby
edlectrico;Bilbao (Spain);15;326;6;Java
albertomolina;Sevilla, Spain;36;326;2;Python
ovillellas;spain;12;325;0;
llafuente;Madrid;4;325;68;JavaScript
sergio-alvarez;Oviedo, Spain;7;324;0;JavaScript
NITEMAN;Madrid;22;324;18;Puppet
jesusprubio;A Coruña;41;324;104;JavaScript
angelblxt;Zaragoza;0;324;0;PHP and CSS
dgarijo;Madrid (Spain);14;323;13;Java
Dirbaio;Barcelona, Spain;42;323;29;C++
iriberri;Madrid;9;323;3;C
oskyar;Granada;9;322;6;CSS
Amab;Granada, Spain;13;322;13;HTML
carlosazaustre;Madrid, Spain;503;320;152;JavaScript
jramcast;Spain;3;320;2;JavaScript
terencezl;Toledo;5;320;2;Python
davidgil;Cintruenigo, Navarra, Spain;5;320;8;Ruby and JavaScript
lekum;Madrid, Spain;6;319;1;Python
xavitb3;España;1;318;0;PHP
logongas;Valencia , Spain;15;317;15;Java
LuisJoseSanchez;Málaga (Spain);3;317;1;CSS
spiddy;Barcelona;4;317;5;JavaScript
chrisekelley;Barcelona, Spain;20;316;126;JavaScript
rubencaro;Barcelona;4;316;31;Ruby
albatronic;Maracena - Granada - Spain;0;315;1;PHP
jmjuanes;Valencia, Spain;2;315;1;CSS
mandel-macaque;Spain;5;315;0;C++
imuguruza;España;3;313;0;C++
vreixo;España;4;312;0;Java
blaxter;Zaragoza, Spain;12;312;53;Ruby
toqueteos;Madrid;16;311;111;Rust
ivanbardon;Spain;1;311;0;CSS and JavaScript
edrevo;Barcelona;17;311;2;Scala
jperedadnr;Valladolid, Spain;22;310;13;Java
josex2r;Madrid;6;310;78;CSS
Chemaclass;España;10;310;3;Java
unintendedbear;Granada;10;310;1;Perl
Neko250;Malaga, Spain;0;309;2;JavaScript
luisgf;Vigo, Spain;0;309;0;Lua
xala3pa;Bilbao;16;309;10;Python
cpalaciosc;España;0;308;0;Java
pokoli;Sarroca de Lleida;9;308;15;Python
kudrom;España;3;307;0;Python
chavaone;A Coruña, Galiza;15;307;18;JavaScript
viccuad;Madrid, Spain;12;306;23;Shell
danigm;Córdoba (España);48;305;72;Python
canodelacuadra;Toledo, Spain;3;304;0;PHP
gregoriorobles;Madrid (Spain);41;304;0;TeX
RubenAgudo;Bilbao;2;304;3;Java
yagop;Madrid, Spain;25;303;130;Python
roclas;madrid;13;302;11;Shell
lmorillas;Zaragoza, Spain;6;302;6;Python
Maks3w;España (Spain);84;302;98;PHP
sirreal;Spain;3;302;27;JavaScript
xabikip;Basque Country, Gipuzkoa;16;302;0;PHP
drslump;Barcelona;44;300;380;JavaScript
efernandez;Barcelona, Spain;10;299;0;C++
josornoc;Barcelona, Catalunya;2;299;0;CSS
ifsnop;Madrid / Spain;4;298;209;Shell
rodbeh;Barcelona;2;297;2;Ruby
Joimer;Madrid, Spain;9;297;17;JavaScript
furilo;Madrid, Spain;30;297;0;
Juanlu001;Madrid, Spain;54;296;2;Python
estebanrfp;España;8;295;2;JavaScript
aborrero;Seville - Spain;6;295;17;Shell
FranBarrera;Sevilla, Spain;13;294;0;Python
YaroSpace;Tenerife;7;292;1;Ruby
davidgf;A Coruña;1;291;1;JavaScript
icoloma;Madrid, Spain;18;291;56;JavaScript
sonnyp;Spain;32;291;36;JavaScript
jlebrijo;Toledo;3;291;10;Ruby
emacarron;Spain;40;290;1;Java
AngelVillanueva;Barcelona;0;290;2;JavaScript
acanas;Granada, Spain;15;289;9;Makefile
ciscou;Madrid;9;288;15;Ruby
fincs;Spain;40;288;220;C
MiguelGonzalez;Madrid;0;287;3;Python
aviscasillas;Mataró, Catalonia, Spain;4;286;2;Ruby
bpedro;Barcelona, Spain;82;285;89;JavaScript
vdel26;Barcelona;14;285;81;JavaScript
jim3k1;Zaragoza, Spain;0;284;0;Python
alu0100764666;Santa Cruz de Tenerife;1;283;0;C++
rboldu;Barcelona;1;283;0;Matlab
aitoralmeida;Bilbao;15;283;13;Python
pplu;Barcelona;16;283;41;Perl
dexafree;Spain;28;282;638;Java
rubenmv;Alicante;1;281;1;JavaScript
camilocot;Málaga;1;281;5;JavaScript
gayoxo;Spain;2;281;7;Java
underc0de;Spain;1;281;2;JavaScript
jsanz;Valencia, Spain;23;280;10;JavaScript
andresbravog;Barcelona;10;280;111;Ruby
suy;Barcelona;5;280;17;VimL
